,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,Reformatted Genes
ABCB5,99.61969286,-1.989270086,0.402632455,-4.940660047,7.7858553572457e-07,5.27536446748553e-05,,,ABCB5
LINC00487,26.31542853,-1.988615266,0.659952133,-3.013271971,0.002584472,0.03381757,,,LINC00487
CTA-398F10.1,85.04600152,-1.98666371,0.504460224,-3.938196941,8.20962004354887e-05,0.002318259,,,CTA
MAFIP,28.73323332,-1.986425696,0.495668395,-4.007569808,6.13467321351263e-05,0.001868856,,,MAFIP
SYNDIG1L,128.8156821,-1.981003198,0.343020698,-5.775171034,7.68749562191291e-09,1.09856641981263e-06,,,SYNDIG1L
CD200R1L,25.83304306,-1.977822077,0.63183289,-3.130293009,0.00174632,0.025277154,,,CD200R1L
TNIP3,48.43158759,-1.97491058,0.527886068,-3.741168219,0.000183167,0.004416045,,,TNIP3
EGFL6,27.34928972,-1.973485187,0.594027071,-3.32221423,0.000893061,0.014902679,,,EGFL6
C11orf44,21.62532175,-1.960353601,0.678007264,-2.891346016,0.003835955,0.044976623,,,C11orf44
CTB-158E9.2,65.46455251,-1.959800047,0.400743531,-4.890409692,1.00626317492632e-06,6.48269929005128e-05,,,CTB
AC007277.3,77.66281189,-1.957857406,0.552958516,-3.540694915,0.000399075,0.008008326,,,AC007277.3
HEG1,353.2896105,-1.955094811,0.313213043,-6.242060646,4.31843440690653e-10,9.34168485141735e-08,,,HEG1
AC072062.1,199.3446356,-1.955062346,0.371039516,-5.269148595,1.37057982439805e-07,1.22877953153923e-05,,,AC072062.1
CTAGE8,8411.373388,-1.953193812,0.307676515,-6.34820573,2.17840643928172e-10,5.29695088016713e-08,,,CTAGE8
GIF,202.1143899,-1.951082744,0.284870684,-6.849012033,7.436174275544e-12,2.6566295945917e-09,,,GIF
AC073284.4,7.020672874,-1.948700413,0.672865692,-2.89612093,0.003778068,0.044603392,,,AC073284.4
VWA2,297.8868255,-1.948257964,0.330959637,-5.886693563,3.9399825888474e-09,6.15237413658496e-07,,,VWA2
EGFEM1P,6030.382004,-1.945955511,0.283715474,-6.858827543,6.94279912118152e-12,2.51852708428214e-09,,,EGFEM1P
FEZF2,200.648594,-1.941858437,0.302004591,-6.429897074,1.27690378104171e-10,3.42137661967984e-08,,,FEZF2
