"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC01057",611.320944960135,-2.10599981516284,0.367910319651195,-5.72422055776929,1.03909685862385e-08,1.42446888543556e-06
"HOPX",1916.66179823133,0.915968038561785,0.160163649089764,5.71895085912054,1.07183784769717e-08,1.46085922606079e-06
"WASF1",17217.2452869534,0.617417778732306,0.1081132275631,5.71084401649143,1.12417247271492e-08,1.52338291575547e-06
"LINC00472",1238.76450480371,-1.58535042428355,0.277798235993027,-5.70684122099085,1.15092051942857e-08,1.55071742443464e-06
"RFX2",1625.01652303873,1.2331098371704,0.216284587651595,5.70133013433564,1.18876156633068e-08,1.58656973832727e-06
"ARX",240.677589058289,-2.99567740493646,0.525464206815865,-5.7010113459283,1.19098708038478e-08,1.58656973832727e-06
"GLP1R",148.549937281902,2.6900705435544,0.474075733982562,5.67434768482233,1.3921812283728e-08,1.84417085302259e-06
"NLK",26050.4593706774,0.712177044719346,0.125762514271409,5.66287219085324,1.4886003654461e-08,1.96087754284098e-06
"TMOD1",9366.76984205605,0.859693152574965,0.152121063456068,5.65137485265636,1.59169552307404e-08,2.07476077984911e-06
"RP11-1094M14.14",11.8261137877097,-2.56295021854962,0.453517447996175,-5.65127147780924,1.592653213252e-08,2.07476077984911e-06
"SOX13",185.983255915857,-2.13451185481716,0.37813616657176,-5.64482332956661,1.65350956405282e-08,2.1422034071869e-06
"FGF13",8403.05548375434,-0.964855080631027,0.17101621261706,-5.64189246075478,1.6819114391503e-08,2.16709234009425e-06
"TMEM51",175.028462739302,-1.61597412302315,0.286504882696405,-5.64030220991213,1.69751961441084e-08,2.17531603196702e-06
"SHH",49.397938763194,-2.34348575089306,0.416184888193601,-5.63087660646369,1.79295973319142e-08,2.28519986750921e-06
"PLCXD3",4939.9953605247,-2.11865790175374,0.376530130232867,-5.62679512644431,1.83588556375029e-08,2.32733041439076e-06
"PRDX2P3",1589.05270386193,0.703185868898389,0.125078471860963,5.62195762736889,1.88805580875624e-08,2.38066673340446e-06
"AIG1",20267.0642646516,-0.536630632854319,0.095484423991356,-5.62008556393343,1.90862909054981e-08,2.39380666628053e-06
"GNG8",11.3137619989305,4.55855179808022,0.812867744115978,5.60798706933292,2.04693315888755e-08,2.55368449488939e-06
"IL1RAP",3428.86673653267,-0.952736751417946,0.170096196458423,-5.60116434849751,2.12916744148482e-08,2.64229679488266e-06
"PMM2",2597.52130216119,0.665786108466069,0.11889896615127,5.59959543818926,2.14852622679881e-08,2.65236125139734e-06
"GALR1",123.133301015757,-2.03478982360936,0.36360638074064,-5.59613343270996,2.19185034410244e-08,2.69175204497872e-06
"F2R",79.1147507509798,-3.49496278135248,0.625165474429949,-5.59046032498728,2.26468428608722e-08,2.75646108514403e-06
"VWF",237.996654524036,1.60719307562442,0.287501262978026,5.59021222716251,2.26792251799458e-08,2.75646108514403e-06
"GGNBP1",423.91344633293,1.35754241183809,0.242966471893365,5.58736520829057,2.30540570079327e-08,2.77657144296798e-06
"MIR4435-1HG",7438.2919432173,0.818986895551,0.146583536974543,5.58716833046016,2.30801986013709e-08,2.77657144296798e-06
"RP11-665I14.1",253.407836434626,-1.63933941623088,0.293479181845468,-5.58587974084674,2.32520103634881e-08,2.77717403822319e-06
"R3HDM1",70355.8855366949,0.905611230860202,0.162160690448179,5.58465327421384,2.34166917762924e-08,2.77717403822319e-06
"SHISA6",9771.77390883418,-0.638535288996249,0.114347544224701,-5.58416267988655,2.34828818726512e-08,2.77717403822319e-06
"GOLIM4",1512.53983078256,-1.48955797088992,0.266772813560693,-5.5836198262048,2.3556334350254e-08,2.77717403822319e-06
"C18orf42",73.8461771766845,-2.49218984843702,0.446789793628964,-5.57799189680383,2.43310986322407e-08,2.85424365497315e-06
"C8orf34",7794.57437288354,-1.30391664319761,0.233858756933178,-5.57565883055722,2.46594795045534e-08,2.87844488731616e-06
"ABCA12",124.307490096495,-2.0108483514904,0.36095775955131,-5.57086888501855,2.53472032671455e-08,2.9441463341676e-06
"AC004980.8",88.6147684834909,-2.16665818863589,0.389021252479746,-5.56951111237475,2.55455098190324e-08,2.95263517658316e-06
"SLC44A1",17675.9882625724,0.702748357792977,0.126233017879943,5.56707246325478,2.59054685717186e-08,2.97039499963066e-06
"MAF",453.487687994611,-2.65984685212275,0.477808311241011,-5.56676556172564,2.59511162442816e-08,2.97039499963066e-06
"RP11-65E22.2",1001.77115933986,-1.52600515750451,0.274406303091089,-5.56111554404769,2.68055643470205e-08,3.05337392144152e-06
"DYRK3",530.256133831263,0.940907905082446,0.169321056395086,5.55694563402071,2.7453622259439e-08,3.11215845795824e-06
"LINC00284",2057.6766037777,1.5654215221586,0.282868742913156,5.53409155793223,3.12845532299199e-08,3.52946641439369e-06
"AF131216.6",216.069324131854,-1.232123074269,0.222872304492009,-5.52838127230462,3.2319904041948e-08,3.62890960669091e-06
"ANP32AP1",45.0145375520649,1.89485484214707,0.344345840657036,5.50276674906703,3.73876925793673e-08,4.17611512093254e-06
"GPR39",458.805159164282,-1.04347858726397,0.18965392398822,-5.50201422317412,3.75476655344882e-08,4.17611512093254e-06
"SLC6A1",3862.73395600007,-2.39334436419738,0.435265152727777,-5.49858942118029,3.82841383842986e-08,4.23803614536796e-06
"RP11-366H4.3",55.9888949352466,-2.72223664008522,0.495546558675912,-5.49340237042302,3.94263104658327e-08,4.34407931997135e-06
